Description,Footprint,Part,Reference,Value,Quantity,Datasheet,Part Name,MPN,Sim.Device,Sim.Pins
"Bidirectional transient-voltage-suppression diode, filled shape",D_SOD-323,D_TVS_Filled,D1 D4 D5 D6,PESD3V3L1BAF,4,~,D_TVS_PESD3V_SOD323,,,
Zener diode,D_MiniMELF,D_Zener,D7 D8 D201 D202 D204 D205 D206 D207 D208 D209,TZMB16-GS08,10,~,D_Z_16V_miniMELF,,,
Fuse,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,Fuse,F1,Fuse,1,~,FH_5x20_THT,,,
Heatsink,LAM3K,Heatsink,HS102,Heatsink,1,~,MH_LAM/3/150,,,
"Generic connector, single row, 01x02, script generated","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",Conn_01x02_Socket,J7,Conn_01x02_Socket,1,~,H_Plug_2P_3.81MM_PCB_HOR,,,
"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",PinHeader_2x08_P2.54mm_Vertical,Conn_02x08_Odd_Even,J4,Conn_02x08_Odd_Even,1,~,H_Male_1x40_vertical_THT,,,
"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",PinSocket_2x08_P2.54mm_Vertical_SMD,Conn_02x08_Odd_Even,J8,Conn_02x08_Odd_Even,1,~,H_Female_2x8_SMD,,,
"Generic connectable mounting pin connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",SWEB-8094-AU,Conn_01x01_MountingPin,J5,SWEB8094AU-RT,1,~,H_Banana_Socket_24A_Red,,,
"Generic connectable mounting pin connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",SWEB-8094-AU,Conn_01x01_MountingPin,J2,SWEB8094AU-SW,1,~,H_Banana_Socket_24A_Black,,,
"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02,J1,Temp Sensor PCB,1,~,H_JST_XH_PCB_2P_VERT,,,
"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02,J9,Temp Sensor heatsink,1,~,H_JST_XH_PCB_2P_VERT,,,
"General purpose signal relay, Kemet EE2 Series, DPDT (2 Form C), double coil latching, SMD, 60W/125VA, 220VDC/250VAC, 2A, 5V DC coil",Relay_DPDT_Kemet_EE2_NU_DoubleCoil,EE2-5TNU,K2,EE2-5TNU,1,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,ER_EE2-5TNU-L,,,
"0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23",SOT-23,2N7002,Q1 Q2 Q201 Q202 Q205 Q206 Q301,2N7002,7,https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF,Q_2N7002,,,
"100Vds, 12A Id, N-Channel MOSFET, SO-8",SO-8_3.9x4.9mm_P1.27mm,AOSP66923,Q7,AOSP66923,1,http://www.aosmd.com/pdfs/datasheet/AOSP66923.pdf,U_AOSP66923,,,
"N-MOSFET transistor, gate/drain/source",TO-247-3_Vertical,Q_NMOS_GDS,Q203 Q204 Q207 Q208,IRFP250M,4,~,Q_IRFP250MPBF,,,
"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",SOT-23,MMBT3904,Q4,MMBT3904,1,https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf,Q_MMBT3904,,,
"-0.2A Ic, -40V Vce, Small Signal PNP Transistor, TO-92",SOT-23,MMBT5401,Q5 Q8,MMBT5401,2,,Q_MMBT5401,,,
"0.6A Ic, 160V Vce, General Purpose NPN Transistor, SOT-23",SOT-23,MMBT5551,Q3 Q6,MMBT5551,2,,Q_MMBT5551,,,
"-6A Ic, -100V Vce, Power PNP Transistor, TO-220",TO-220-3_Vertical,TIP42C,Q101,TIP42C,1,https://www.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=TIP42.PDF,,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R11 R12 R24 R25 R45 R221 R222,0,7,~,R_0.0Ω_0805_1%,,,
Resistor,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,R,R219 R220 R239 R240,10m,4,~,R_R01_2512_1%_20ppmC,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R36 R37 R38,47,3,~,R_47.0Ω_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R207 R208 R227 R228,100,4,~,R_100.0Ω_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R40,200,1,~,R_200.0Ω_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R504,220,1,~,R_220.0Ω_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R8 R21,330,2,~,R_330.0Ω_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R18 R19,470,2,~,R_470.0Ω_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R9 R10,750,2,~,R_750.0Ω_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R32 R33 R34 R35 R322 R401 R402,1k,7,~,R_1.0kΩ_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R41,1k8,1,~,R_1.8kΩ_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R301 R302 R303 R304 R325 R404 R405,2k,7,~,R_2.0kΩ_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R330,2k2,1,~,R_2.2kΩ_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R47 R48,4k7,2,~,R_4.7kΩ_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R320,7k5,1,~,R_7.5kΩ_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R17 R44 R46 R55 R56 R57 R201 R202 R403 R502 R507 R509,10k,12,~,R_10.0kΩ_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R323 R503,15k,2,~,R_15.0kΩ_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R39 R42 R58 R203 R205 R223 R225,22k,7,~,R_22.0kΩ_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R22 R43,47k,2,~,R_47.0kΩ_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R16 R20 R53 R54 R321,100k,5,~,R_100.0kΩ_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R49 R51 R52 R209 R210 R229 R230,1M,7,~,R_1.0MΩ_0805_1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R4 R5 R26 R29 R30 R31 R211 R212 R213 R214 R231 R232 R233 R234 R309 R310 R311 R312 R313 R314,100k 0.1%,20,~,R_100k_0805_0.1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R27 R28 R305 R306,10k 0.1%,4,~,R_10k_0805_0.1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R307 R308,1k 0.1%,2,~,R_1k_0805_0.1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R215 R216 R217 R218 R235 R236 R237 R238,1k1 0.1%,8,~,R_1k1_0805_0.1%,,,
Resistor,R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical,R,R2,1k5 (3W),1,~,R_1.5kΩ_THT_15mm_5mm_3W_1%,FMP300FRF73-1K5,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R204 R206 R224 R226,20k 0.1%,4,~,R_20k_0805_0.1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R317 R318,39k 0.1%,2,~,R_39k_0805_0.1%,,,
"Resistor, small symbol",R_0805_2012Metric,R_Small,R3 R6 R315,5k 0.1%,3,~,R_5k_0805_0.1%,,,
quad 2-input NOR gate,SO-14_3.9x8.65mm_P1.27mm,74HCT02,U305 U403,74HCT02,2,http://www.ti.com/lit/gpn/sn74hct02,U_74HCT02D,,,
"Single 2.7V to 6.0V Single Supply CMOS Op Amps, with Chip Select, SOIC-8",SOIC-8_3.9x4.9mm_P1.27mm,MCP603-xSN,U401,AD8038,1,http://ww1.microchip.com/downloads/en/DeviceDoc/21314g.pdf,U_AD8038ARZ,,,
24-bit dual-channel ADC with 1.2V internal reference,TSSOP-20_4.4x6.5mm_P0.65mm,ADS131M02,U20,ADS131M02,1,,U_ADS131M02,,,
"1A Low Dropout regulator, positive, adjustable output, SOT-223",SOT-223-3_TabPin2,AMS1117,U22,AMS1117,1,http://www.advanced-monolithic.com/pdf/ds1117.pdf,U_AZ1117CH-ADJTRG1,,,
16-bit quad-channel voltage output DAC with external reference,TSSOP-16_4.4x5mm_P0.65mm,DAC8555,U11 U12,DAC8555,2,https://www.ti.com/lit/ds/symlink/dac8555.pdf,U_DAC8555IPW,,,
"Operational Amplifier, TO-99-8",SOIC-8_3.9x4.9mm_P1.27mm,LM318H,U201 U202 U205 U206,LM318D,4,http://www.ti.com/lit/ds/symlink/lm318-n.pdf,U_LM318D,,,
"Low-Power, Low-Offset Voltage, Dual Comparators, DIP-8/SOIC-8/TO-99-8",SOIC-8_3.9x4.9mm_P1.27mm,LM393,U2 U306 U402,LM393,3,http://www.ti.com/lit/ds/symlink/lm393.pdf,U_LM393,,,
"Dual, 1 MHz, 85µA, Rail-to-Rail input and output SOIC-8",SOIC-8_3.9x4.9mm_P1.27mm,MCP6L02x-xSN_2,U301,LM833,1,http://ww1.microchip.com/downloads/en/devicedoc/22140b.pdf,U_LM833DR,,,
"Dual, 1 MHz, 85µA, Rail-to-Rail input and output SOIC-8",SOIC-8_3.9x4.9mm_P1.27mm,MCP6L02x-xSN_1,U302,LM833,1,http://ww1.microchip.com/downloads/en/devicedoc/22140b.pdf,U_LM833DR,,,
"MICROPOWER 200mA Low Noise LDO negative regulator, fixed output -5V, TSOT-23-5",TSOT-23-5,LT1964-5,U21,LT1964-5,1,https://www.analog.com/media/en/technical-documentation/data-sheets/1964fb.pdf,U_LT1964ES5-5,,,
"Single, 1 MHz, 85µA, Rail-to-Rail input and output, SOT-23-5",SOT-23-5,MCP6L01x-xOT,U18 U19,MCP6V51,2,http://ww1.microchip.com/downloads/en/devicedoc/22140b.pdf,U_MCP6V51T-E/OT,,,
"Low offset opamp, SOT-23-5",SOT-23-5,MCP6V51/LTC2050HV,U203 U204 U207 U208,MCP6V51/LTC2050HV,4,,U_LTC2050HVCS5,,,
"Low offset opamp, SOT-23-5",SOT-23-5,MCP6V51/LTC2050HV,U303 U304,OPA189/MCP6V51/LTC2050HV,2,,U_LTC2050HVCS5,,,
"2.5V 0.1% 10mA Low Noise Precision Voltage Reference, SO-8",SOIC-8_3.9x4.9mm_P1.27mm,REF5025AD,U4,REF5025AD,1,http://www.ti.com/lit/ds/symlink/ref5030.pdf,U_REF5025,,,
"Single SPDT Analog Switch, 5V/3.3V Single-Supply Operation, 12Ohm Ron, SOT-23-6",SOT-23-6,TS5A63157DBV,U1,SN74LVC1G3157DBV,1,https://www.ti.com/lit/ds/symlink/ts5a63157.pdf,U_SN74LVC1G3157DBVR,,,
"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",SOIC-8_3.9x4.9mm_P1.27mm,TL072,U10,TL072/OPA2376,1,http://www.ti.com/lit/ds/symlink/tl071.pdf,U_TL072CDT,,,
"800mA Low-Dropout Linear Regulator, 5.0V fixed output, TO-220/TO-252/TO-263/SOT-223",SOT-223-3_TabPin2,TLV1117-50,U23,TLV1117-50,1,http://www.ti.com/lit/ds/symlink/tlv1117.pdf,U_AZ1117CH-5.0TRG1,,,
"Ultra Low Noise, High PSRR LDO",SOT-23-5,TPS72325,U17,TPS72325,1,,U_TPS72325DB,,,
"Ultra Low Noise, High PSRR LDO",SOT-23-5,TPS7A2030,U15,TPS7A2030,1,,U_TPS7A2030PDBVR,,,
"Form A, Solid State Relay (Photo MOSFET) 60V, 0.2A, 10Ohm, SO-4",SO-4_4.4x4.3mm_P2.54mm,ASSR-1218,U8 U9,VO1400AEFTR,2,https://docs.broadcom.com/docs/AV02-0173EN,U_VO1400AEFTR,,,





Component Groups:,82
Component Count:,301
Fitted Components:,301
Number of PCBs:,1
Total components:,301
Schematic Version:,4
Schematic Date:,2024-11-10
PCB Variant:,default
BoM Date:,2024-11-10
Schematic Source:,EL-Load-Analog.kicad_sch
KiCad Version:,Eeschema 7.0.9
